model, best_acc, best_precis, best_recall, best_f1, best_loss, test_accuracy, test_presis, test_recall, test_f1, test_loss
5_64, 0.9433290657976412, 0.9447040560667183, 0.9461432527731511, 0.9454231067059152, 0.09883936301820688, 0.9905397022332506, 0.9905498939587752, 0.9906667895846919, 0.9906083383231993, 0.06487020276251154
5_128, 0.9519805245189323, 0.9522042400661165, 0.9546708302258411, 0.9534359398482295, 0.10476220098152424, 0.987825682382134, 0.9880678095978261, 0.9878722835310041, 0.9879700368904268, 0.06759758622711409
5_256, 0.8954841713221602, 0.902315857171766, 0.9007457846100971, 0.9015301372959307, 0.14457696713570767, 0.9820099255583127, 0.9825109736609371, 0.9821469462450089, 0.9823289262280283, 0.10015308937963754
6_64, 0.9481104308923947, 0.9492306618878218, 0.9502897413665632, 0.9497599063817874, 0.08262448777450253, 0.990377824858757, 0.9905144842541866, 0.9904782291862613, 0.9904963563884636, 0.04881348769358498
6_128, 0.9672881838160271, 0.9667707620482507, 0.9690622964776323, 0.9679151729657087, 0.08500256630444467, 0.988965395480226, 0.9891247578195768, 0.9890504388892495, 0.9890875969583529, 0.05681035199321863
6_256, 0.9209711757318891, 0.9248088425918791, 0.9252342329244909, 0.925021488852044, 0.11436414073215026, 0.9870527306967984, 0.9873750667562549, 0.9871178573292673, 0.987246445289931, 0.06688623245114464
7_64, 0.9503511207592892, 0.9514840923414506, 0.952835077817462, 0.9521591058631083, 0.07581060830599054, 0.9931340872374798, 0.9932419522503939, 0.993084485482094, 0.9931632126246256, 0.04146810416177348
7_128, 0.962717084006462, 0.9623276620958408, 0.9648736710054787, 0.9635989847955528, 0.08758963742131677, 0.9920486672051696, 0.9921184575951024, 0.9920775485162927, 0.9920980026339768, 0.05102760206173762
7_256, 0.9190253937802908, 0.9229679891521008, 0.9228496992384345, 0.9229088404049411, 0.11763512510174406, 0.9879341680129241, 0.9881811598396555, 0.9879607923092313, 0.988070963787409, 0.07317214468057735
8_64, 0.9707217455364882, 0.9704860548510745, 0.9721708241394834, 0.9713277089371485, 0.06552941364044955, 0.9930266805266805, 0.9931190043047551, 0.9929536518902259, 0.9930363212142023, 0.03473614264577782
8_128, 0.9743402236089443, 0.9738976163217612, 0.9753533884377259, 0.9746249587677488, 0.066301812414859, 0.9901030838530839, 0.990314392595474, 0.9899998819582285, 0.9901571123017899, 0.046026315285704195
8_256, 0.9657490466285318, 0.9654713479752479, 0.9674130914072847, 0.9664412443697522, 0.0844495207519127, 0.9920738045738046, 0.9922632670601259, 0.9919592076860888, 0.9921112140762987, 0.051359264910019735
9_64, 0.975562234526699, 0.974931495945727, 0.9769929408150945, 0.9759611298252215, 0.06737396118391965, 0.9917703276699029, 0.9917694026212167, 0.9919431289469917, 0.9918562581769444, 0.04662383780676252
9_128, 0.9661094887742718, 0.9658995809037064, 0.9678320440614044, 0.9668648468847942, 0.079140746337623, 0.9897413531553398, 0.9898279705390424, 0.9899647095319194, 0.9898963353133824, 0.050161364846591595
9_256, 0.8889578077095043, 0.8993017053159865, 0.894241348233905, 0.8967643880520287, 0.12917751030322816, 0.9920358009708737, 0.9920695607360539, 0.9921739795683824, 0.9921217674047498, 0.06609104157796183
10_64, 0.9769654957820495, 0.9764739147761482, 0.9780528658618647, 0.9772627525465912, 0.060940806830253005, 0.9903290270754319, 0.9904881397733865, 0.9903016585025106, 0.9903948903598175, 0.04560936074872631
10_128, 0.9747671301923735, 0.97441967001307, 0.9759370078364534, 0.9751777486957804, 0.0681424272523441, 0.9938550226506532, 0.9939224743379318, 0.993847952660189, 0.9938852121021485, 0.04260319769686393
10_256, 0.9687959461820087, 0.968536378562147, 0.9702262179965244, 0.9693805618412284, 0.07865546361970582, 0.9910549673409187, 0.9911698877397092, 0.9910372826784795, 0.9911035807736087, 0.049921527890997436
