model, best_acc, best_precis, best_recall, best_f1, best_loss, test_accuracy, test_presis, test_recall, test_f1, test_loss
5_64, 0.8389199255121043, 0.8656601747105236, 0.8462031112454704, 0.8558210683422217, 0.15566803552418448, 0.986574074074074, 0.9865583782529947, 0.9866501448137155, 0.986604259399495, 0.08595231731456739
5_128, 0.8553887337057728, 0.8765709701683277, 0.8629174537069226, 0.8696906276454842, 0.15545985634045006, 0.982175925925926, 0.9824658119562661, 0.9817803932266438, 0.9821229830038916, 0.1013367518092747
5_256, 0.840782122905028, 0.866251331266265, 0.8479561952089996, 0.8570061344505151, 0.1633397552429298, 0.9717592592592592, 0.9721360900944664, 0.9715562004437993, 0.9718460587657267, 0.10376883477524475
6_64, 0.9053752568053415, 0.912364522407937, 0.9101035925041633, 0.9112326550161424, 0.12355526234023273, 0.9853225047080979, 0.9854458612693349, 0.9855879027528126, 0.9855168768930023, 0.0691593452225213
6_128, 0.9271515472521829, 0.9313426038386271, 0.9305604328782141, 0.9309513540664571, 0.11304717221413081, 0.986734934086629, 0.9868860102418865, 0.9869413885339792, 0.9869136986110779, 0.06756369181840265
6_256, 0.7837337891628147, 0.8298267449336427, 0.7914732680417604, 0.8101963615182561, 0.18723317263858383, 0.8050376647834275, 0.8532974975934029, 0.8041351948181518, 0.8279872270007468, 0.10627495482732348
7_64, 0.9480343691148776, 0.9479503314491037, 0.9512292516037625, 0.9495869610101731, 0.09961083535776985, 0.9840250329380764, 0.9842579171222576, 0.9841337372661322, 0.9841958232771297, 0.0795816084648964
7_128, 0.8637257869249395, 0.8805216934955962, 0.8701610810782633, 0.8753107300224552, 0.14784290697696206, 0.9760375494071147, 0.9759745489669527, 0.9758494273251203, 0.9759119841355761, 0.1218054593509234
7_256, 0.8007465698143665, 0.839218305528476, 0.8087960190552634, 0.8237263651226789, 0.1842728433837397, 0.9739102986385595, 0.9734669429248108, 0.9743967886012771, 0.9739316438242686, 0.11316193703220086
8_64, 0.9444516632016632, 0.9459328915436477, 0.9472804821098734, 0.94660620721882, 0.09611742186220654, 0.9887188796680498, 0.988888490485071, 0.9887594233625354, 0.9888239527121531, 0.0581857986280625
8_128, 0.922037422037422, 0.9260909239928766, 0.925989661909841, 0.9260402901831182, 0.11815714173642396, 0.9843101659751037, 0.9848239923199298, 0.9842998809145097, 0.9845618668672236, 0.0782211404023267
8_256, 0.9498440748440748, 0.9496699636168339, 0.9526661187385402, 0.9511656817245924, 0.10798310526993257, 0.9821058091286307, 0.982891874922343, 0.9818336547798099, 0.9823624798672826, 0.08821766292173956
9_64, 0.9401728844404004, 0.9424976582926834, 0.9431498569749198, 0.9428236448441317, 0.08270323711101668, 0.992840909090909, 0.9930979562073151, 0.992611529524983, 0.9928546832877165, 0.042024621513079514
9_128, 0.9463612255160193, 0.9470363056989283, 0.9491796031569942, 0.9481067431407939, 0.10288435738326963, 0.9901136363636364, 0.9905221013619697, 0.9897255753206359, 0.990123678145752, 0.0598003059794957
9_256, 0.86471553086538, 0.8819264748621626, 0.8710040805855279, 0.8764312493659152, 0.14785006134393705, 0.9764772727272727, 0.9765899229507042, 0.9763473741655009, 0.9764686334961973, 0.08480534628033638
10_64, 0.9370681315644003, 0.9392330126269214, 0.9405334009549159, 0.9398827569983829, 0.09491152782958452, 0.9899627483443708, 0.9901312047951979, 0.9899222561619405, 0.9900267194537327, 0.05461688527670868
10_128, 0.8936135295743506, 0.9038405893633228, 0.8980715960740356, 0.9009468577282503, 0.13461457118299322, 0.9845819536423841, 0.9845950552318965, 0.9848883512727109, 0.984741681413438, 0.08016642123007443
10_256, 0.9071914731896076, 0.911445128319378, 0.9113271021688257, 0.9113861114229519, 0.14901877966575064, 0.9748551324503312, 0.97564075063027, 0.9751133270782462, 0.9753769675547523, 0.1030632976923656
