model, best_acc, best_precis, best_recall, best_f1, best_loss, test_accuracy, test_presis, test_recall, test_f1, test_loss
5_64, 0.9128491620111732, 0.9177419495123413, 0.9172668979280357, 0.9175043622289297, 0.12162352384551943, 0.9786551339285714, 0.9792222386108534, 0.9790290770141541, 0.9791256482857892, 0.09234735777135938
5_128, 0.9169692737430167, 0.9210006360578538, 0.9223300215923705, 0.9216648494575358, 0.12589936684504902, 0.9840959821428571, 0.9848518215580461, 0.984120348509257, 0.9844859491625535, 0.09048145321763254
5_256, 0.8151536312849162, 0.8506564378463306, 0.8222995351434723, 0.8362376592107762, 0.16615967970320633, 0.9750279017857143, 0.974944014067294, 0.975529091925115, 0.9752364652441359, 0.10430732865019568
6_64, 0.9381620762711864, 0.9391200193671547, 0.9418921148614763, 0.9405040244604459, 0.09984392126374957, 0.9886349878934625, 0.9889635853343952, 0.9886680821473954, 0.9888158116634441, 0.06037172835193953
6_128, 0.9390095338983051, 0.9402867021968254, 0.9425881370149193, 0.9414360130858765, 0.11346054779823428, 0.9813256658595643, 0.9820257224897133, 0.9814285609565702, 0.9817270509133125, 0.08381822653809341
6_256, 0.8461599576271186, 0.8686957700143114, 0.8539836538205476, 0.8612768893284138, 0.15209423272980976, 0.9706113801452784, 0.9710118813687056, 0.9708475020526396, 0.970929684753279, 0.097186284215521
7_64, 0.9474700218023255, 0.947550880290684, 0.9503277389279382, 0.9489372781453879, 0.10266174090488782, 0.9839986503322259, 0.9847338617126206, 0.9838583501621697, 0.984295911249925, 0.07691568210125403
7_128, 0.9576898619186046, 0.9575132888078189, 0.9601481966843148, 0.9588289325361914, 0.0965456568319919, 0.9874636627906976, 0.9881263177959989, 0.9871451192476375, 0.9876354748209847, 0.07131651692298176
7_256, 0.7779115188953488, 0.8264167568422689, 0.7862040449755189, 0.8058090238356677, 0.19117843970077025, 0.8663828903654485, 0.8876811150698144, 0.8670755074133363, 0.8772573283481494, 0.12680228634975677
8_64, 0.9614004990642545, 0.9614906479514569, 0.9634037779202781, 0.962446262217161, 0.08189389875657736, 0.9887780548628429, 0.9889784994471328, 0.9887887211291163, 0.9888836011829554, 0.05569024056084733
8_128, 0.9540315034310668, 0.9540678651107452, 0.9565402868182838, 0.9553024762463584, 0.0951513368987867, 0.9879208229426434, 0.9883151198395884, 0.9878628365405329, 0.9880889264335421, 0.06417840778098402
8_256, 0.826477698066126, 0.8557487721818751, 0.8334985027192203, 0.8444771004400945, 0.1687152081076811, 0.974283042394015, 0.9742339803230344, 0.9746383111122197, 0.9744361037745537, 0.10490573302115734
9_64, 0.9569565811032222, 0.9571806467041949, 0.9593269484126544, 0.9582525957340657, 0.08574631055262588, 0.9907205240174672, 0.9907304594285709, 0.9907994929389697, 0.9907649749812587, 0.0500953140440824
9_128, 0.9530823320589842, 0.9533847569614178, 0.9555025621910821, 0.9544424847821837, 0.09765391266772015, 0.9878548034934498, 0.9879374738499849, 0.9880150250679599, 0.9879762479371262, 0.06040900706325751
9_256, 0.9434223102129984, 0.9443567075852599, 0.9462792557659708, 0.9453170041760917, 0.11386982773866551, 0.9888782751091703, 0.9890269550033712, 0.989012072704852, 0.9890195137981262, 0.06624507995964919
10_64, 0.9618280238924838, 0.9616362182394913, 0.963902333311632, 0.9627679423103043, 0.08414580329122451, 0.9890034791252486, 0.9893181896842446, 0.9890061886198925, 0.989162164549262, 0.05362071616970425
10_128, 0.9568504230960677, 0.9568307157239232, 0.9596849716373459, 0.958255718267085, 0.09693426984877336, 0.9898111332007953, 0.9901967122519197, 0.9898112415904357, 0.9900039393991994, 0.06121256048781853
10_256, 0.9536616475858636, 0.9535744569747102, 0.9561271010674487, 0.9548490729974768, 0.10986613524607636, 0.9893762425447317, 0.9897079224474993, 0.9893379676418371, 0.9895229104657434, 0.06644407243636358
