model, best_acc, best_precis, best_recall, best_f1, best_loss, test_accuracy, test_presis, test_recall, test_f1, test_loss
5_64, 0.9249052274541102, 0.9295036309547725, 0.928374887678634, 0.9289389164360008, 0.09957580783118992, 0.9886363636363636, 0.9889177979906171, 0.9883967033320388, 0.9886571819975815, 0.061512107240478765
5_128, 0.9503566440542698, 0.9505128595821614, 0.9533858812271765, 0.9519472026808306, 0.11034079031247263, 0.9815091706539075, 0.982368321242632, 0.9813476890565394, 0.9818577399151899, 0.08085148802407359
5_256, 0.8855746209098164, 0.8980262977946799, 0.8901683665062106, 0.8940800669484605, 0.12805642789870453, 0.9896331738437002, 0.9900481522127128, 0.9893341518717164, 0.9896910232655539, 0.07460490087317555
6_64, 0.9316181860190894, 0.9354538102191046, 0.9345075726208586, 0.9349804520124728, 0.08596714360445885, 0.9885924708866598, 0.9888344836027788, 0.9883915343487346, 0.9886129593597694, 0.06087842548421649
6_128, 0.9608370380993354, 0.9604381801600373, 0.9628349138788795, 0.961635053645341, 0.0900212507888104, 0.9874574829931972, 0.9876929909937244, 0.9872895661155003, 0.9874912373513036, 0.06084568228811639
6_256, 0.9148182672849243, 0.9200649821881327, 0.9192762272722441, 0.9196704356113989, 0.11758877041002737, 0.9871548195549407, 0.9875110120931082, 0.9868884540889161, 0.9871996349400363, 0.07391876514468874
7_64, 0.9608428521979925, 0.9605620024238894, 0.9631390753631089, 0.9618488127144658, 0.08682620743248971, 0.9853971962616822, 0.9858432350802326, 0.9853453816687224, 0.9855942455042841, 0.065779427203049
7_128, 0.9604182892004154, 0.9599318149852262, 0.9627815438927914, 0.9613545675914968, 0.09524935357096612, 0.9833203530633438, 0.9838057309208684, 0.9833283325722105, 0.9835669738172943, 0.07813091125186467
7_256, 0.9348904248875043, 0.9358549845139041, 0.9384122580114882, 0.9371318766748399, 0.12027922326453254, 0.9891290238836968, 0.989365202229482, 0.9891065760130365, 0.9892358722174245, 0.07374621580063771
8_64, 0.9684923111210163, 0.9678257400705212, 0.9703346965424259, 0.9690785943793573, 0.0723133324268738, 0.9933433600713012, 0.9933292543814823, 0.993464443193046, 0.9933968441878902, 0.0397697201595474
8_128, 0.9681371183418765, 0.9676838618497027, 0.9700686572897856, 0.9688747920837688, 0.08133055666370884, 0.9899454099821747, 0.9900440150760854, 0.9900806763028149, 0.9900623453500661, 0.05606168863669025
8_256, 0.9316149431691554, 0.9340520901488282, 0.9351110183279564, 0.9345812542835934, 0.10610249900373858, 0.9922014260249554, 0.9922541604162599, 0.9922804206736012, 0.9922672903711868, 0.06359673375529427
9_64, 0.9746128340159937, 0.9741414823522966, 0.9760042613256668, 0.9750719821758592, 0.06755382235012371, 0.9928334633385335, 0.9929985043165402, 0.9927832788563231, 0.9928908799230155, 0.039276964750809974
9_128, 0.9730941583772187, 0.9725001230943688, 0.9744971882946205, 0.9734976314841913, 0.07138820777595245, 0.9917609204368175, 0.9918372393204193, 0.9917954619926626, 0.9918163502166043, 0.044653079875304647
9_256, 0.9200078018334309, 0.9248764215026043, 0.924067396273243, 0.9244717318890837, 0.10501607457440697, 0.9926384555382215, 0.992794875821482, 0.9926541912551946, 0.9927245285540383, 0.053055363365444655
10_64, 0.9440122688477952, 0.9465181157885801, 0.9463416623112824, 0.9464298808253839, 0.07535173174069462, 0.9937092759142844, 0.9937600679784583, 0.9937187096009252, 0.9937393883593689, 0.03563605630366267
10_128, 0.9656923453058321, 0.9655098827144899, 0.9672495632293474, 0.9663789400270208, 0.07803169267515306, 0.9939982161703299, 0.9940286056003443, 0.9940101023902015, 0.9940193539091658, 0.04343441615025559
10_256, 0.9668314366998577, 0.966649413876259, 0.9685303069814227, 0.9675889463641587, 0.08152553612297761, 0.991553337080714, 0.9916365212759678, 0.9915905793763771, 0.9916135497940453, 0.050709718640279
