model, best_acc, best_precis, best_recall, best_f1, best_loss, test_accuracy, test_presis, test_recall, test_f1, test_loss
5_64, 0.8264405204460966, 0.8593720016944923, 0.8334755700331071, 0.8462257097983604, 0.15413835516621854, 0.9724264705882353, 0.9739110671844474, 0.9708307479085798, 0.9723684680538345, 0.13225741781677833
5_128, 0.8303903345724907, 0.862518224583921, 0.836183903268578, 0.8491469385331717, 0.16099602053959794, 0.9678308823529411, 0.9673446521048303, 0.9669078969288972, 0.9671262252070971, 0.13277846265255527
5_256, 0.7367565055762082, 0.8047900763995507, 0.7427991765823424, 0.7725530594366579, 0.21584298719260772, 0.8506433823529411, 0.8703975613070659, 0.850406839614179, 0.8602860835580889, 0.1796310776296784
6_64, 0.8759383500732371, 0.8905725586567, 0.8824497437854351, 0.886492544539882, 0.12641845628787568, 0.983497191011236, 0.9830361259061664, 0.983676052877669, 0.9833559852824976, 0.07693233253078514
6_128, 0.8131081293157564, 0.8484228794362837, 0.8221541813677734, 0.8350820016179321, 0.1674455370133122, 0.964185393258427, 0.9631745887321707, 0.9651554256601798, 0.9641639898093934, 0.1061503810787134
6_256, 0.8423441096463694, 0.8659420591592911, 0.851127495939205, 0.8584708688733445, 0.1664343656403786, 0.9775280898876404, 0.9761659810665396, 0.9785668151037656, 0.9773649237137999, 0.12209802889003513
7_64, 0.8725030266343826, 0.8878884239088433, 0.8795485989837576, 0.8836988353054025, 0.1346236793662604, 0.9702524038461539, 0.9708477307667592, 0.970711127802102, 0.9707794244789184, 0.11279544932767749
7_128, 0.8591253026634383, 0.8784048941625285, 0.8677722948580294, 0.8730562231768654, 0.1488792530100874, 0.9696514423076923, 0.9702656516509145, 0.9692904509557285, 0.9697778061399064, 0.1150958735961467
7_256, 0.7462167070217918, 0.8094690152958527, 0.7556259419158057, 0.7816213122612087, 0.21255964183273385, 0.9155649038461539, 0.9212984612926903, 0.9136403364091181, 0.9174534182425031, 0.1547300685555316
8_64, 0.890310984060984, 0.9022015301529963, 0.8964498722819803, 0.8993165050029743, 0.12256547872155223, 0.9865702479338843, 0.9864504301322433, 0.9864798006686744, 0.9864651151818427, 0.07475280456922272
8_128, 0.8985403672903673, 0.9077075464905253, 0.9041854073668066, 0.9059430535851455, 0.12994384623893582, 0.9801136363636364, 0.980261009817436, 0.9799005030611485, 0.9800807232876564, 0.09405596815203586
8_256, 0.807085932085932, 0.8432040731181184, 0.8143634895370557, 0.8285328777505515, 0.17905062756146808, 0.9641012396694215, 0.9639348084466486, 0.96457838589312, 0.9642564897835489, 0.12977613593367013
9_64, 0.9095643939393939, 0.9175484356047247, 0.9142239107792697, 0.9158831563145623, 0.10254859379238702, 0.9864130434782609, 0.9866321207147698, 0.9866619033570341, 0.9866470118111494, 0.0758928828889612
9_128, 0.9040593434343435, 0.9118472720978026, 0.9090425146082083, 0.9104427332374858, 0.12293913263319568, 0.9818840579710145, 0.9816802049467112, 0.9825202695099677, 0.9821000575856605, 0.09290415376586758
9_256, 0.8278914141414141, 0.8586666336136655, 0.8349625702108913, 0.8466487206731812, 0.1726003777811473, 0.963088768115942, 0.9632432705291091, 0.9629208129942619, 0.963082014770511, 0.10424658787045357
10_64, 0.9346679592234903, 0.9372185575234219, 0.9382409264139421, 0.9377294633067975, 0.09718088764669512, 0.9867549668874173, 0.9869950878944339, 0.9868364638252691, 0.9869157694860566, 0.06480940309852756
10_128, 0.9294581016486198, 0.9321596176925548, 0.9329043995869665, 0.9325318599317096, 0.11549095371290176, 0.9855132450331126, 0.9858158474752965, 0.985542934726525, 0.9856793722100398, 0.08043032267827861
10_256, 0.8725429226416935, 0.8884394152949412, 0.8787105157902944, 0.8835481847121103, 0.14693993688630524, 0.9765058341217282, 0.9763493610259775, 0.9770384272582735, 0.976693772606536, 0.10125920098793033
