model, best_acc, best_precis, best_recall, best_f1, best_loss, test_accuracy, test_presis, test_recall, test_f1, test_loss
5_64, 0.9500682720953326, 0.95017262951003, 0.9527556188422994, 0.9514623711321661, 0.10575124965400307, 0.9836767626613704, 0.9842045124312654, 0.9836679923879671, 0.9839361792713016, 0.07706876212126153
5_128, 0.9535749751737835, 0.9536298751378404, 0.9561710105097098, 0.9548987522368069, 0.10411918400384508, 0.9859731876861966, 0.9863625221114992, 0.9859726065252326, 0.9861675257766996, 0.07055446856156687
5_256, 0.8873588008937437, 0.8982605550383321, 0.8925100522463759, 0.8953760706668334, 0.1325663177059758, 0.9895729890764647, 0.9897619788410582, 0.9895943303039033, 0.9896781474726898, 0.07950212237958786
6_64, 0.9685459055513691, 0.9681413820441434, 0.9702312839847971, 0.9691852063760796, 0.07960397544013056, 0.9899444235116804, 0.9901273432656292, 0.9899589739811935, 0.990043151465083, 0.05041729667720181
6_128, 0.9685674924642049, 0.9681612370798609, 0.9702876799425704, 0.9692232921768313, 0.0803431518653621, 0.9916635267520724, 0.9917907807345362, 0.9917209771179342, 0.991755877697973, 0.046943346207600704
6_256, 0.8864371389098216, 0.899173197520082, 0.8913557649088177, 0.8952474157958182, 0.1205404406849796, 0.9913809344385832, 0.9915182993711407, 0.9913399076049914, 0.9914290954633818, 0.06055732928679662
7_64, 0.9551241922455573, 0.9552263532661257, 0.9577655643577774, 0.9564942736001876, 0.08875561924079532, 0.9879481589147286, 0.9879909714580141, 0.9881747030275254, 0.9880828287016615, 0.05563697081242113
7_128, 0.97114633817986, 0.9706663986122678, 0.9726244079886566, 0.9716444168807494, 0.07570092135883104, 0.9902293281653747, 0.9902956525770473, 0.9903604379974628, 0.9903280442277196, 0.050797809139784496
7_256, 0.9026117393645665, 0.9118200911582677, 0.9066871044782189, 0.9092463535377915, 0.10854751180544471, 0.994468669250646, 0.9944017020508462, 0.994495699578135, 0.9944486985932761, 0.05499633179450509
8_64, 0.9492339156960621, 0.9505499427526283, 0.951537593189728, 0.9510435115546443, 0.07668353768343987, 0.992616472545757, 0.9927177790327341, 0.9926333664113538, 0.9926755709275275, 0.04300137065765275
8_128, 0.9685160149750416, 0.9681238641996209, 0.9700906145809147, 0.9691062415370622, 0.0783415417036086, 0.9898606489184693, 0.9900177510461505, 0.9898771986154241, 0.9899474698418899, 0.05440155464042178
8_256, 0.9450135191347754, 0.9455309235612671, 0.9475767822376441, 0.9465527474320512, 0.10851117294796712, 0.9921138380476983, 0.9922259840088723, 0.9921244351211331, 0.9921752069666269, 0.053591801929047424
9_64, 0.9747193567961165, 0.9742595214790327, 0.9760412176075516, 0.9751495557095509, 0.06394881227072634, 0.9915655339805826, 0.991731844560646, 0.9915725614227827, 0.9916521965955409, 0.03978738193841
9_128, 0.9715260922330097, 0.9713919495099348, 0.9728863329898209, 0.9721385669540054, 0.07212515002222804, 0.9918841019417476, 0.9919956927222592, 0.9919559305932965, 0.9919758112593238, 0.0463425968782705
9_256, 0.9556811286407767, 0.9556081780710723, 0.9578175032674551, 0.9567115651773878, 0.10524983793509518, 0.9907766990291262, 0.9909549995343647, 0.9907884418393607, 0.9908717136876051, 0.05858649206347764
10_64, 0.9748693162960504, 0.9744174059313533, 0.9760608739717789, 0.9752384475605695, 0.061749575703679636, 0.9918448869223205, 0.9919365407726568, 0.991869290520307, 0.9919029145066031, 0.0403429132031145
10_128, 0.9795711638455581, 0.9791468472271461, 0.9805849286561682, 0.9798653602984813, 0.058042335997006214, 0.9930063913470992, 0.9930591754079663, 0.9930424585021325, 0.9930508168846968, 0.039378648361426044
10_256, 0.9658908618209979, 0.9654708868040668, 0.9680745576664422, 0.9667709692115595, 0.08546631681946731, 0.9946380285152409, 0.9946527953785622, 0.9946620162065142, 0.9946574057711682, 0.04183385379002553
