model, best_acc, best_precis, best_recall, best_f1, best_loss, test_accuracy, test_presis, test_recall, test_f1, test_loss
5_64, 0.778125, 0.82854993804587, 0.7848043482687277, 0.8060840692611364, 0.18502871841192245, 0.9347826086956522, 0.9278576363362336, 0.92807863068936, 0.9279681203554204, 0.15218429097338862
5_128, 0.7486111111111111, 0.8154943413862177, 0.7564333938638467, 0.7848543396728183, 0.20131644250618086, 0.9057971014492753, 0.9057241397756609, 0.9090418856307676, 0.9073799799603137, 0.18122999337704285
5_256, 0.7052083333333333, 0.7947319033176522, 0.7115725519013592, 0.7508567163322144, 0.24494832340213987, 0.7146739130434783, 0.77774632683513, 0.7187747527707482, 0.7470986294914095, 0.21746547973674277
6_64, 0.825635593220339, 0.8596085152804439, 0.8350599807733627, 0.8471564461299989, 0.16214976137724973, 0.9677083333333333, 0.969747677861068, 0.9668395496975217, 0.968291430244958, 0.132546593559285
6_128, 0.818502824858757, 0.8549520543675693, 0.8247733320933985, 0.8395915907974784, 0.16575268607081498, 0.9572916666666667, 0.9604224615969972, 0.9552874365916161, 0.9578480669244565, 0.16234867901851732
6_256, 0.7241878531073446, 0.7984487478868467, 0.7292057287872046, 0.7622579712785242, 0.23503800254251997, 0.7989583333333333, 0.8332725521401319, 0.7965709562052441, 0.8145085221239451, 0.20854113760093848
7_64, 0.8235027706734868, 0.8587557578093724, 0.83382714049821, 0.8461078729278741, 0.15900491944689682, 0.9629807692307691, 0.9640826266710831, 0.9622451790614205, 0.9631630265320921, 0.10484997167118958
7_128, 0.8184676044330775, 0.8537991552020042, 0.8293337258258257, 0.8413886300625514, 0.1674926839498938, 0.9696428571428571, 0.9688423026553279, 0.9700777131114563, 0.9694596143037233, 0.1253680732101202
7_256, 0.751385336743393, 0.8158429777464368, 0.7614393487533854, 0.7877029181437918, 0.20065064841638441, 0.8639423076923077, 0.8776519677294247, 0.8568459387216717, 0.8671241647085193, 0.199737764362778
8_64, 0.8730590062111802, 0.890965595393841, 0.878355980964688, 0.8846158550313913, 0.11773216745220356, 0.9839939024390244, [0.99522358 0.97680988], [0.96698276 0.99552767], [0.98089994 0.98607996], 0.06990301132233381
8_128, 0.8926630434782609, 0.9045742997793684, 0.8962742862782785, 0.9004051658727006, 0.13058623278178044, 0.9725609756097561, [0.99508808 0.95582695], [0.94406851 0.99577782], [0.96890713 0.97539348], 0.11617175451509666
8_256, 0.8194875776397516, 0.8586227911817301, 0.8263507690228631, 0.8421777297293946, 0.1703513145955823, 0.9260670731707317, [0.88761975 0.9685138 ], [0.96412408 0.88986928], [0.92429154 0.92752747], 0.1208050679252199
9_64, 0.7874207427536232, 0.8337520533599337, 0.7959315763755126, 0.8144029602172774, 0.19193336837317632, 0.9755434782608695, 0.9763245632861329, 0.9750420451301289, 0.9756828827463684, 0.13508499794356202
9_128, 0.7874773550724639, 0.8374767271732126, 0.795668373498453, 0.8160374054683391, 0.19639565977875306, 0.9427445652173914, 0.9432609364071408, 0.9436854026189774, 0.9434731217714881, 0.1399942814655926
9_256, 0.7743999094202899, 0.8251971836521627, 0.7804747089564741, 0.802213123001465, 0.22588745773891392, 0.9130434782608695, 0.9175993185547036, 0.9147045432712246, 0.9161496442496774, 0.1543976471799871
10_64, 0.8263773723972728, 0.859534597354833, 0.833520477917599, 0.8463276816421674, 0.16521546785807728, 0.9785539215686274, 0.978431147910751, 0.9785161731310766, 0.9784736586738307, 0.10809019200649916
10_128, 0.8433238898102082, 0.8707739205846713, 0.8495320047302397, 0.8600218176725645, 0.15893688312365642, 0.9675245098039216, 0.9682629541783948, 0.9668594439240378, 0.96756069008056, 0.1481462612967281
10_256, 0.7571920490141884, 0.8194157619946582, 0.765399875659588, 0.7914872966202368, 0.19996765752633414, 0.9307598039215687, 0.9297327403509554, 0.9319802432246314, 0.9308551351691278, 0.17694655396774703
